TransactionNo,Items,DateTime,Daypart,DayType,SimulatedRating
16,Medialuna,2016-10-30 10:37:08,Morning,Weekend,1.449725776965265
16,Coffee,2016-10-30 10:37:08,Morning,Weekend,5.0
17,Hot chocolate,2016-10-30 10:38:04,Morning,Weekend,1.4307129798903109
18,Farm House,2016-10-30 10:41:56,Morning,Weekend,1.272760511882998
19,Farm House,2016-10-30 10:43:08,Morning,Weekend,1.272760511882998
19,Bread,2016-10-30 10:43:08,Morning,Weekend,3.430712979890311
20,Bread,2016-10-30 10:45:22,Morning,Weekend,3.430712979890311
20,Medialuna,2016-10-30 10:45:22,Morning,Weekend,1.449725776965265
21,Coffee,2016-10-30 10:49:29,Morning,Weekend,5.0
21,Coffee,2016-10-30 10:49:29,Morning,Weekend,5.0
21,Medialuna,2016-10-30 10:49:29,Morning,Weekend,1.449725776965265
21,Bread,2016-10-30 10:49:29,Morning,Weekend,3.430712979890311
22,Jam,2016-10-30 10:52:15,Morning,Weekend,1.1082266910420475
23,Scandinavian,2016-10-30 10:53:49,Morning,Weekend,1.2018281535648994
23,Muffin,2016-10-30 10:53:49,Morning,Weekend,1.269835466179159
24,Bread,2016-10-30 10:54:33,Morning,Weekend,3.430712979890311
25,Scandinavian,2016-10-30 10:55:22,Morning,Weekend,1.2018281535648994
26,Fudge,2016-10-30 10:56:08,Morning,Weekend,1.1155393053016454
27,Scandinavian,2016-10-30 11:02:19,Morning,Weekend,1.2018281535648994
28,Coffee,2016-10-30 11:03:24,Morning,Weekend,5.0
28,Bread,2016-10-30 11:03:24,Morning,Weekend,3.430712979890311
29,Bread,2016-10-30 11:05:30,Morning,Weekend,3.430712979890311
29,Jam,2016-10-30 11:05:30,Morning,Weekend,1.1082266910420475
30,Bread,2016-10-30 11:07:19,Morning,Weekend,3.430712979890311
31,Basket,2016-10-30 11:12:56,Morning,Weekend,1.0036563071297988
32,Scandinavian,2016-10-30 11:16:15,Morning,Weekend,1.2018281535648994
32,Muffin,2016-10-30 11:16:15,Morning,Weekend,1.269835466179159
33,Coffee,2016-10-30 11:22:49,Morning,Weekend,5.0
34,Coffee,2016-10-30 11:25:45,Morning,Weekend,5.0
34,Muffin,2016-10-30 11:25:45,Morning,Weekend,1.269835466179159
35,Muffin,2016-10-30 11:27:34,Morning,Weekend,1.269835466179159
35,Scandinavian,2016-10-30 11:27:34,Morning,Weekend,1.2018281535648994
36,Tea,2016-10-30 11:33:08,Morning,Weekend,2.0486288848263254
36,Bread,2016-10-30 11:33:08,Morning,Weekend,3.430712979890311
37,Coffee,2016-10-30 11:37:10,Morning,Weekend,5.0
37,Bread,2016-10-30 11:37:10,Morning,Weekend,3.430712979890311
38,Bread,2016-10-30 11:42:40,Morning,Weekend,3.430712979890311
38,Tea,2016-10-30 11:42:40,Morning,Weekend,2.0486288848263254
39,Scandinavian,2016-10-30 11:44:31,Morning,Weekend,1.2018281535648994
40,Juice,2016-10-30 11:55:51,Morning,Weekend,1.2691042047531993
40,Tartine,2016-10-30 11:55:51,Morning,Weekend,1.03363802559415
40,Coffee,2016-10-30 11:55:51,Morning,Weekend,5.0
40,Muffin,2016-10-30 11:55:51,Morning,Weekend,1.269835466179159
41,Scandinavian,2016-10-30 11:57:06,Morning,Weekend,1.2018281535648994
42,Bread,2016-10-30 11:57:45,Morning,Weekend,3.430712979890311
42,Tea,2016-10-30 11:57:45,Morning,Weekend,2.0486288848263254
43,Scandinavian,2016-10-30 12:00:22,Afternoon,Weekend,1.2018281535648994
43,Fudge,2016-10-30 12:00:22,Afternoon,Weekend,1.1155393053016454
44,Coffee,2016-10-30 12:05:47,Afternoon,Weekend,5.0
44,Medialuna,2016-10-30 12:05:47,Afternoon,Weekend,1.449725776965265
45,Coffee,2016-10-30 12:08:36,Afternoon,Weekend,5.0
45,Hot chocolate,2016-10-30 12:08:36,Afternoon,Weekend,1.4307129798903109
45,Medialuna,2016-10-30 12:08:36,Afternoon,Weekend,1.449725776965265
46,Coffee,2016-10-30 12:09:04,Afternoon,Weekend,5.0
47,Ella's Kitchen Pouches,2016-10-30 12:15:29,Afternoon,Weekend,1.0117001828153565
47,Juice,2016-10-30 12:15:29,Afternoon,Weekend,1.2691042047531993
47,Bread,2016-10-30 12:15:29,Afternoon,Weekend,3.430712979890311
47,Muffin,2016-10-30 12:15:29,Afternoon,Weekend,1.269835466179159
47,Jam,2016-10-30 12:15:29,Afternoon,Weekend,1.1082266910420475
48,Coffee,2016-10-30 12:17:02,Afternoon,Weekend,5.0
49,Coffee,2016-10-30 12:23:01,Afternoon,Weekend,5.0
49,Coffee,2016-10-30 12:23:01,Afternoon,Weekend,5.0
49,Medialuna,2016-10-30 12:23:01,Afternoon,Weekend,1.449725776965265
50,Bread,2016-10-30 12:25:11,Afternoon,Weekend,3.430712979890311
50,Victorian Sponge,2016-10-30 12:25:11,Afternoon,Weekend,1.0043875685557586
51,Bread,2016-10-30 12:26:58,Afternoon,Weekend,3.430712979890311
52,Scandinavian,2016-10-30 12:28:07,Afternoon,Weekend,1.2018281535648994
54,Bread,2016-10-30 12:33:08,Afternoon,Weekend,3.430712979890311
55,Frittata,2016-10-30 12:38:06,Afternoon,Weekend,1.0585009140767825
55,Coffee,2016-10-30 12:38:06,Afternoon,Weekend,5.0
55,Tea,2016-10-30 12:38:06,Afternoon,Weekend,2.0486288848263254
55,Hearty & Seasonal,2016-10-30 12:38:06,Afternoon,Weekend,1.0775137111517368
56,Coffee,2016-10-30 12:39:27,Afternoon,Weekend,5.0
56,Frittata,2016-10-30 12:39:27,Afternoon,Weekend,1.0585009140767825
57,Scandinavian,2016-10-30 12:45:48,Afternoon,Weekend,1.2018281535648994
58,Victorian Sponge,2016-10-30 12:59:29,Afternoon,Weekend,1.0043875685557586
58,Hot chocolate,2016-10-30 12:59:29,Afternoon,Weekend,1.4307129798903109
58,Tea,2016-10-30 12:59:29,Afternoon,Weekend,2.0486288848263254
58,Soup,2016-10-30 12:59:29,Afternoon,Weekend,1.2493601462522852
59,Tea,2016-10-30 13:02:04,Afternoon,Weekend,2.0486288848263254
60,Cookies,2016-10-30 13:14:04,Afternoon,Weekend,1.3941499085923217
60,Coffee,2016-10-30 13:14:04,Afternoon,Weekend,5.0
60,Juice,2016-10-30 13:14:04,Afternoon,Weekend,1.2691042047531993
60,Coffee,2016-10-30 13:14:04,Afternoon,Weekend,5.0
61,Coffee,2016-10-30 13:15:38,Afternoon,Weekend,5.0
62,Pick and Mix Bowls,2016-10-30 13:24:00,Afternoon,Weekend,1.0080438756855576
62,Hearty & Seasonal,2016-10-30 13:24:00,Afternoon,Weekend,1.0775137111517368
62,Hearty & Seasonal,2016-10-30 13:24:00,Afternoon,Weekend,1.0775137111517368
62,Coffee,2016-10-30 13:24:00,Afternoon,Weekend,5.0
62,Smoothies,2016-10-30 13:24:00,Afternoon,Weekend,1.0555758683729433
62,Coffee,2016-10-30 13:24:00,Afternoon,Weekend,5.0
63,Coffee,2016-10-30 13:33:12,Afternoon,Weekend,5.0
64,Cake,2016-10-30 13:34:07,Afternoon,Weekend,1.7488117001828154
65,Tartine,2016-10-30 13:37:25,Afternoon,Weekend,1.03363802559415
65,Mighty Protein,2016-10-30 13:37:25,Afternoon,Weekend,1.0073126142595978
65,Tea,2016-10-30 13:37:25,Afternoon,Weekend,2.0486288848263254
65,Coffee,2016-10-30 13:37:25,Afternoon,Weekend,5.0
66,Hearty & Seasonal,2016-10-30 13:40:20,Afternoon,Weekend,1.0775137111517368
66,Frittata,2016-10-30 13:40:20,Afternoon,Weekend,1.0585009140767825
66,Mineral water,2016-10-30 13:40:20,Afternoon,Weekend,1.0987202925045705
67,Hearty & Seasonal,2016-10-30 13:46:48,Afternoon,Weekend,1.0775137111517368
67,Mineral water,2016-10-30 13:46:48,Afternoon,Weekend,1.0987202925045705
67,Muffin,2016-10-30 13:46:48,Afternoon,Weekend,1.269835466179159
68,Frittata,2016-10-30 13:49:36,Afternoon,Weekend,1.0585009140767825
68,Coffee,2016-10-30 13:49:36,Afternoon,Weekend,5.0
68,Tea,2016-10-30 13:49:36,Afternoon,Weekend,2.0486288848263254
68,Scandinavian,2016-10-30 13:49:36,Afternoon,Weekend,1.2018281535648994
68,Chicken sand,2016-10-30 13:49:36,Afternoon,Weekend,1.0
69,Bread,2016-10-30 13:51:49,Afternoon,Weekend,3.430712979890311
69,Tea,2016-10-30 13:51:49,Afternoon,Weekend,2.0486288848263254
69,Victorian Sponge,2016-10-30 13:51:49,Afternoon,Weekend,1.0043875685557586
70,Fudge,2016-10-30 13:54:42,Afternoon,Weekend,1.1155393053016454
71,Muffin,2016-10-30 13:56:08,Afternoon,Weekend,1.269835466179159
72,Coffee,2016-10-30 14:21:38,Afternoon,Weekend,5.0
72,Bread,2016-10-30 14:21:38,Afternoon,Weekend,3.430712979890311
73,Bread,2016-10-30 14:22:39,Afternoon,Weekend,3.430712979890311
74,Coffee,2016-10-30 14:24:03,Afternoon,Weekend,5.0
74,Bread,2016-10-30 14:24:03,Afternoon,Weekend,3.430712979890311
75,Jam,2016-10-30 14:32:26,Afternoon,Weekend,1.1082266910420475
75,Frittata,2016-10-30 14:32:26,Afternoon,Weekend,1.0585009140767825
76,Coffee,2016-10-30 14:32:49,Afternoon,Weekend,5.0
77,Scandinavian,2016-10-30 14:35:36,Afternoon,Weekend,1.2018281535648994
78,Fudge,2016-10-30 14:42:29,Afternoon,Weekend,1.1155393053016454
79,Fudge,2016-10-30 14:45:44,Afternoon,Weekend,1.1155393053016454
79,Tea,2016-10-30 14:45:44,Afternoon,Weekend,2.0486288848263254
79,Coffee,2016-10-30 14:45:44,Afternoon,Weekend,5.0
79,Muffin,2016-10-30 14:45:44,Afternoon,Weekend,1.269835466179159
80,Frittata,2016-10-30 14:48:40,Afternoon,Weekend,1.0585009140767825
80,Bread,2016-10-30 14:48:40,Afternoon,Weekend,3.430712979890311
80,Coffee,2016-10-30 14:48:40,Afternoon,Weekend,5.0
81,Coffee,2016-10-31 08:28:31,Morning,Weekday,5.0
81,Cake,2016-10-31 08:28:31,Morning,Weekday,1.7488117001828154
82,Tartine,2016-10-31 08:47:05,Morning,Weekday,1.03363802559415
82,Bread,2016-10-31 08:47:05,Morning,Weekday,3.430712979890311
83,Coffee,2016-10-31 08:57:47,Morning,Weekday,5.0
83,Bread,2016-10-31 08:57:47,Morning,Weekday,3.430712979890311
84,Bread,2016-10-31 09:04:06,Morning,Weekday,3.430712979890311
85,Coffee,2016-10-31 09:10:09,Morning,Weekday,5.0
85,Coffee,2016-10-31 09:10:09,Morning,Weekday,5.0
85,Pastry,2016-10-31 09:10:09,Morning,Weekday,1.6252285191956124
85,Medialuna,2016-10-31 09:10:09,Morning,Weekday,1.449725776965265
86,Juice,2016-10-31 09:11:08,Morning,Weekday,1.2691042047531993
87,Bread,2016-10-31 09:12:56,Morning,Weekday,3.430712979890311
88,Coffee,2016-10-31 09:16:01,Morning,Weekday,5.0
88,Coffee,2016-10-31 09:16:01,Morning,Weekday,5.0
88,Jam,2016-10-31 09:16:01,Morning,Weekday,1.1082266910420475
89,Bread,2016-10-31 09:19:41,Morning,Weekday,3.430712979890311
90,Bread,2016-10-31 09:20:12,Morning,Weekday,3.430712979890311
90,Coffee,2016-10-31 09:20:12,Morning,Weekday,5.0
91,Tea,2016-10-31 09:22:48,Morning,Weekday,2.0486288848263254
92,Coffee,2016-10-31 09:27:11,Morning,Weekday,5.0
93,Bread,2016-10-31 09:29:23,Morning,Weekday,3.430712979890311
93,Coke,2016-10-31 09:29:23,Morning,Weekday,1.1345521023765996
94,Coffee,2016-10-31 09:39:09,Morning,Weekday,5.0
94,Coffee,2016-10-31 09:39:09,Morning,Weekday,5.0
95,Tea,2016-10-31 09:43:37,Morning,Weekday,2.0486288848263254
95,Pastry,2016-10-31 09:43:37,Morning,Weekday,1.6252285191956124
95,Farm House,2016-10-31 09:43:37,Morning,Weekday,1.272760511882998
96,Pastry,2016-10-31 09:46:48,Morning,Weekday,1.6252285191956124
96,Pastry,2016-10-31 09:46:48,Morning,Weekday,1.6252285191956124
96,Coffee,2016-10-31 09:46:48,Morning,Weekday,5.0
96,Juice,2016-10-31 09:46:48,Morning,Weekday,1.2691042047531993
97,Coffee,2016-10-31 09:51:11,Morning,Weekday,5.0
97,Pastry,2016-10-31 09:51:11,Morning,Weekday,1.6252285191956124
97,Juice,2016-10-31 09:51:11,Morning,Weekday,1.2691042047531993
98,Farm House,2016-10-31 09:52:22,Morning,Weekday,1.272760511882998
99,Pastry,2016-10-31 09:56:37,Morning,Weekday,1.6252285191956124
99,Pastry,2016-10-31 09:56:37,Morning,Weekday,1.6252285191956124
99,Coffee,2016-10-31 09:56:37,Morning,Weekday,5.0
99,Bread,2016-10-31 09:56:37,Morning,Weekday,3.430712979890311
100,Bread,2016-10-31 09:58:06,Morning,Weekday,3.430712979890311
101,Coffee,2016-10-31 10:04:02,Morning,Weekday,5.0
101,Pastry,2016-10-31 10:04:02,Morning,Weekday,1.6252285191956124
102,Farm House,2016-10-31 10:04:44,Morning,Weekday,1.272760511882998
103,Bread,2016-10-31 10:07:40,Morning,Weekday,3.430712979890311
104,Coffee,2016-10-31 10:12:48,Morning,Weekday,5.0
104,Coffee,2016-10-31 10:12:48,Morning,Weekday,5.0
104,Medialuna,2016-10-31 10:12:48,Morning,Weekday,1.449725776965265
104,Muffin,2016-10-31 10:12:48,Morning,Weekday,1.269835466179159
104,Coffee,2016-10-31 10:12:48,Morning,Weekday,5.0
105,Coffee,2016-10-31 10:21:29,Morning,Weekday,5.0
105,Tea,2016-10-31 10:21:29,Morning,Weekday,2.0486288848263254
105,Cake,2016-10-31 10:21:29,Morning,Weekday,1.7488117001828154
106,Coffee,2016-10-31 10:24:21,Morning,Weekday,5.0
106,Coffee,2016-10-31 10:24:21,Morning,Weekday,5.0
106,Pastry,2016-10-31 10:24:21,Morning,Weekday,1.6252285191956124
106,Pastry,2016-10-31 10:24:21,Morning,Weekday,1.6252285191956124
107,Coffee,2016-10-31 10:27:30,Morning,Weekday,5.0
107,Tea,2016-10-31 10:27:30,Morning,Weekday,2.0486288848263254
108,Farm House,2016-10-31 10:31:05,Morning,Weekday,1.272760511882998
108,Muffin,2016-10-31 10:31:05,Morning,Weekday,1.269835466179159
109,Bread,2016-10-31 10:35:23,Morning,Weekday,3.430712979890311
109,Muffin,2016-10-31 10:35:23,Morning,Weekday,1.269835466179159
109,Pastry,2016-10-31 10:35:23,Morning,Weekday,1.6252285191956124
110,Pastry,2016-10-31 10:36:37,Morning,Weekday,1.6252285191956124
111,Coffee,2016-10-31 10:38:09,Morning,Weekday,5.0
112,Coffee,2016-10-31 10:59:17,Morning,Weekday,5.0
113,Coffee,2016-10-31 11:02:37,Morning,Weekday,5.0
113,Cake,2016-10-31 11:02:37,Morning,Weekday,1.7488117001828154
114,Farm House,2016-10-31 11:05:45,Morning,Weekday,1.272760511882998
115,Bread,2016-10-31 11:08:53,Morning,Weekday,3.430712979890311
116,Coffee,2016-10-31 11:11:01,Morning,Weekday,5.0
117,Cookies,2016-10-31 11:13:08,Morning,Weekday,1.3941499085923217
117,Cake,2016-10-31 11:13:08,Morning,Weekday,1.7488117001828154
117,Coffee,2016-10-31 11:13:08,Morning,Weekday,5.0
117,My-5 Fruit Shoot,2016-10-31 11:13:08,Morning,Weekday,1.0124314442413163
118,Cookies,2016-10-31 11:18:29,Morning,Weekday,1.3941499085923217
118,Cookies,2016-10-31 11:18:29,Morning,Weekday,1.3941499085923217
118,Tea,2016-10-31 11:18:29,Morning,Weekday,2.0486288848263254
118,Pastry,2016-10-31 11:18:29,Morning,Weekday,1.6252285191956124
119,Coffee,2016-10-31 11:25:56,Morning,Weekday,5.0
119,Coffee,2016-10-31 11:25:56,Morning,Weekday,5.0
119,Muffin,2016-10-31 11:25:56,Morning,Weekday,1.269835466179159
120,Farm House,2016-10-31 11:29:01,Morning,Weekday,1.272760511882998
121,Coffee,2016-10-31 11:30:59,Morning,Weekday,5.0
121,Bread,2016-10-31 11:30:59,Morning,Weekday,3.430712979890311
122,Cookies,2016-10-31 11:37:30,Morning,Weekday,1.3941499085923217
123,Jam,2016-10-31 11:42:05,Morning,Weekday,1.1082266910420475
123,Coffee,2016-10-31 11:42:05,Morning,Weekday,5.0
123,Coffee,2016-10-31 11:42:05,Morning,Weekday,5.0
123,Juice,2016-10-31 11:42:05,Morning,Weekday,1.2691042047531993
124,Coffee,2016-10-31 11:43:10,Morning,Weekday,5.0
124,Soup,2016-10-31 11:43:10,Morning,Weekday,1.2493601462522852
125,Tea,2016-10-31 11:47:18,Morning,Weekday,2.0486288848263254
126,Coffee,2016-10-31 11:52:43,Morning,Weekday,5.0
126,Jam,2016-10-31 11:52:43,Morning,Weekday,1.1082266910420475
127,Farm House,2016-10-31 11:53:11,Morning,Weekday,1.272760511882998
128,Tartine,2016-10-31 11:55:00,Morning,Weekday,1.03363802559415
128,Coffee,2016-10-31 11:55:00,Morning,Weekday,5.0
128,Tea,2016-10-31 11:55:00,Morning,Weekday,2.0486288848263254
129,Coffee,2016-10-31 11:59:23,Morning,Weekday,5.0
129,Coffee,2016-10-31 11:59:23,Morning,Weekday,5.0
129,Cake,2016-10-31 11:59:23,Morning,Weekday,1.7488117001828154
130,Coffee,2016-10-31 12:03:12,Afternoon,Weekday,5.0
130,Coffee,2016-10-31 12:03:12,Afternoon,Weekday,5.0
130,Muffin,2016-10-31 12:03:12,Afternoon,Weekday,1.269835466179159
131,Bread,2016-10-31 12:08:28,Afternoon,Weekday,3.430712979890311
131,Coffee,2016-10-31 12:08:28,Afternoon,Weekday,5.0
132,Tea,2016-10-31 12:14:20,Afternoon,Weekday,2.0486288848263254
132,Juice,2016-10-31 12:14:20,Afternoon,Weekday,1.2691042047531993
132,Pick and Mix Bowls,2016-10-31 12:14:20,Afternoon,Weekday,1.0080438756855576
132,Cookies,2016-10-31 12:14:20,Afternoon,Weekday,1.3941499085923217
133,Hearty & Seasonal,2016-10-31 12:16:32,Afternoon,Weekday,1.0775137111517368
133,Soup,2016-10-31 12:16:32,Afternoon,Weekday,1.2493601462522852
134,Hearty & Seasonal,2016-10-31 12:19:37,Afternoon,Weekday,1.0775137111517368
134,Tea,2016-10-31 12:19:37,Afternoon,Weekday,2.0486288848263254
134,Farm House,2016-10-31 12:19:37,Afternoon,Weekday,1.272760511882998
135,Bread,2016-10-31 12:20:21,Afternoon,Weekday,3.430712979890311
136,Tea,2016-10-31 12:27:41,Afternoon,Weekday,2.0486288848263254
136,Soup,2016-10-31 12:27:41,Afternoon,Weekday,1.2493601462522852
137,Farm House,2016-10-31 12:37:07,Afternoon,Weekday,1.272760511882998
138,Soup,2016-10-31 12:43:35,Afternoon,Weekday,1.2493601462522852
138,Hearty & Seasonal,2016-10-31 12:43:35,Afternoon,Weekday,1.0775137111517368
138,Coffee,2016-10-31 12:43:35,Afternoon,Weekday,5.0
139,Bread,2016-10-31 12:50:57,Afternoon,Weekday,3.430712979890311
139,Muffin,2016-10-31 12:50:57,Afternoon,Weekday,1.269835466179159
139,Hearty & Seasonal,2016-10-31 12:50:57,Afternoon,Weekday,1.0775137111517368
140,Coffee,2016-10-31 12:53:33,Afternoon,Weekday,5.0
140,Coffee,2016-10-31 12:53:33,Afternoon,Weekday,5.0
140,Cookies,2016-10-31 12:53:33,Afternoon,Weekday,1.3941499085923217
141,Bread,2016-10-31 12:54:28,Afternoon,Weekday,3.430712979890311
142,Tea,2016-10-31 12:56:47,Afternoon,Weekday,2.0486288848263254
142,Muffin,2016-10-31 12:56:47,Afternoon,Weekday,1.269835466179159
143,Tea,2016-10-31 12:59:08,Afternoon,Weekday,2.0486288848263254
144,Soup,2016-10-31 13:02:11,Afternoon,Weekday,1.2493601462522852
144,Hearty & Seasonal,2016-10-31 13:02:11,Afternoon,Weekday,1.0775137111517368
145,Coffee,2016-10-31 13:05:49,Afternoon,Weekday,5.0
145,Tea,2016-10-31 13:05:49,Afternoon,Weekday,2.0486288848263254
145,Focaccia,2016-10-31 13:05:49,Afternoon,Weekday,1.0387568555758684
146,Sandwich,2016-10-31 13:08:30,Afternoon,Weekday,1.563071297989031
147,Tartine,2016-10-31 13:09:31,Afternoon,Weekday,1.03363802559415
147,Coffee,2016-10-31 13:09:31,Afternoon,Weekday,5.0
148,Fudge,2016-10-31 13:21:17,Afternoon,Weekday,1.1155393053016454
148,Coffee,2016-10-31 13:21:17,Afternoon,Weekday,5.0
148,Coffee,2016-10-31 13:21:17,Afternoon,Weekday,5.0
149,Coffee,2016-10-31 13:26:03,Afternoon,Weekday,5.0
150,Bread,2016-10-31 13:31:33,Afternoon,Weekday,3.430712979890311
151,Coke,2016-10-31 13:50:17,Afternoon,Weekday,1.1345521023765996
151,Soup,2016-10-31 13:50:17,Afternoon,Weekday,1.2493601462522852
152,Muffin,2016-10-31 13:51:18,Afternoon,Weekday,1.269835466179159
153,Tea,2016-10-31 13:55:22,Afternoon,Weekday,2.0486288848263254
153,Coffee,2016-10-31 13:55:22,Afternoon,Weekday,5.0
153,Cookies,2016-10-31 13:55:22,Afternoon,Weekday,1.3941499085923217
153,Muffin,2016-10-31 13:55:22,Afternoon,Weekday,1.269835466179159
154,Mighty Protein,2016-10-31 14:00:21,Afternoon,Weekday,1.0073126142595978
154,Hearty & Seasonal,2016-10-31 14:00:21,Afternoon,Weekday,1.0775137111517368
154,Coffee,2016-10-31 14:00:21,Afternoon,Weekday,5.0
154,Coke,2016-10-31 14:00:21,Afternoon,Weekday,1.1345521023765996
155,Tea,2016-10-31 14:01:30,Afternoon,Weekday,2.0486288848263254
155,Muffin,2016-10-31 14:01:30,Afternoon,Weekday,1.269835466179159
155,Sandwich,2016-10-31 14:01:30,Afternoon,Weekday,1.563071297989031
156,Coffee,2016-10-31 14:04:16,Afternoon,Weekday,5.0
156,Muffin,2016-10-31 14:04:16,Afternoon,Weekday,1.269835466179159
157,Coffee,2016-10-31 14:05:07,Afternoon,Weekday,5.0
157,Bread,2016-10-31 14:05:07,Afternoon,Weekday,3.430712979890311
158,Coffee,2016-10-31 14:20:29,Afternoon,Weekday,5.0
158,Muffin,2016-10-31 14:20:29,Afternoon,Weekday,1.269835466179159
159,Bread,2016-10-31 14:22:31,Afternoon,Weekday,3.430712979890311
159,Hot chocolate,2016-10-31 14:22:31,Afternoon,Weekday,1.4307129798903109
159,Cookies,2016-10-31 14:22:31,Afternoon,Weekday,1.3941499085923217
160,Mineral water,2016-10-31 14:35:27,Afternoon,Weekday,1.0987202925045705
160,Muffin,2016-10-31 14:35:27,Afternoon,Weekday,1.269835466179159
161,Tea,2016-10-31 14:42:34,Afternoon,Weekday,2.0486288848263254
162,Muffin,2016-10-31 14:44:48,Afternoon,Weekday,1.269835466179159
163,Coffee,2016-10-31 14:47:16,Afternoon,Weekday,5.0
163,Juice,2016-10-31 14:47:16,Afternoon,Weekday,1.2691042047531993
164,Coffee,2016-10-31 14:47:36,Afternoon,Weekday,5.0
164,Muffin,2016-10-31 14:47:36,Afternoon,Weekday,1.269835466179159
165,Tea,2016-10-31 14:48:49,Afternoon,Weekday,2.0486288848263254
166,Coffee,2016-10-31 14:49:28,Afternoon,Weekday,5.0
166,Muffin,2016-10-31 14:49:28,Afternoon,Weekday,1.269835466179159
167,Sandwich,2016-10-31 14:50:42,Afternoon,Weekday,1.563071297989031
167,Hearty & Seasonal,2016-10-31 14:50:42,Afternoon,Weekday,1.0775137111517368
167,Bread,2016-10-31 14:50:42,Afternoon,Weekday,3.430712979890311
167,Mineral water,2016-10-31 14:50:42,Afternoon,Weekday,1.0987202925045705
168,Tea,2016-10-31 14:56:25,Afternoon,Weekday,2.0486288848263254
168,Coffee,2016-10-31 14:56:25,Afternoon,Weekday,5.0
169,Mineral water,2016-10-31 15:05:17,Afternoon,Weekday,1.0987202925045705
170,Coffee,2016-10-31 15:16:49,Afternoon,Weekday,5.0
171,Soup,2016-10-31 15:20:16,Afternoon,Weekday,1.2493601462522852
171,Tea,2016-10-31 15:20:16,Afternoon,Weekday,2.0486288848263254
172,Bread,2016-10-31 17:06:47,Evening,Weekday,3.430712979890311
172,Coffee,2016-10-31 17:06:47,Evening,Weekday,5.0
173,Bread,2016-10-31 17:08:09,Evening,Weekday,3.430712979890311
173,Muffin,2016-10-31 17:08:09,Evening,Weekday,1.269835466179159
174,Coffee,2016-10-31 17:40:21,Evening,Weekday,5.0
175,Bread,2016-10-31 17:49:42,Evening,Weekday,3.430712979890311
176,Cookies,2016-10-31 18:22:24,Evening,Weekday,1.3941499085923217
176,Coffee,2016-10-31 18:22:24,Evening,Weekday,5.0
178,Coffee,2016-01-11 07:51:20,Morning,Weekday,5.0
178,Pastry,2016-01-11 07:51:20,Morning,Weekday,1.6252285191956124
